Year,Temperature
1860,2.992308
1861,3.0846152
1862,1.2384614
1863,5.2
1864,3.5230768
1865,3.1692312
1866,4.7
1867,2.5769234
1868,4.053846
1869,5.4538455
1870,2.7384617
1871,3.2384617
1872,5.030769
1873,4.369231
1874,4.5692306
1875,1.3230773
1876,3.530769
1877,3.2999997
1878,5.1384616
1879,2.7769232
1880,3.2999997
1881,2.5230768
1882,4.6384616
1883,3.6538463
1884,2.6999998
1885,3.4
1886,3.5230768
1887,4.1076922
1888,1.6923076
1889,3.015385
1890,4.3153844
1891,3.5769231
1892,3.0153844
1893,2.1615386
1894,3.8538463
1895,3.323077
1896,3.1846151
1897,4.453846
1898,3.7307696
1899,3.4230769
1900,2.8538465
1901,4.284615
1902,2.4230769
1903,5.0615387
1904,2.9923074
1905,4.2230773
1906,4.7923074
1907,1.8769231
1908,1.9846154
1909,3.469231
1910,4.7384615
1911,3.1538463
1912,2.830769
1913,4.469231
1914,4.2846155
1915,3.230769
1916,3.7846148
1917,3.123077
1918,3.8153844
1919,2.9384618
1920,4.784616
1921,4.330769
1922,4.0
1923,3.7615383
1924,3.530769
1925,5.415385
1926,3.176923
1927,3.4000003
1928,3.3384616
1929,3.0230768
1930,4.430769
1931,3.3384614
1932,5.261538
1933,2.6769228
1934,5.369231
1935,4.676923
1936,5.538462
1937,5.3
1938,6.2076917
1939,4.8076925
1940,3.5307693
1941,1.7846154
1942,2.2230768
1943,4.792308
1944,4.884616
1945,3.169231
1946,4.230769
1947,3.9846153
1948,5.123077
1949,5.7153845
1950,4.1153846
1951,4.438462
1952,4.6923075
1953,4.3923078
1954,4.5
1955,4.115384
1956,2.9846153
1957,5.8230767
1958,4.369231
1959,4.623077
1960,4.876923
1961,5.8307695
1962,5.1153846
1963,3.8153844
1964,4.992307
1965,3.9230769
1966,5.1692305
1967,5.2769237
1968,4.276923
1969,3.0846152
1970,4.7538457
1971,4.8153844
1972,5.8999996
1973,5.1769233
1974,6.0384617
1975,6.5538454
1976,3.2307696
1977,5.023076
1978,3.7999997
1979,5.0384617
1980,4.061538
1981,6.4230776
1982,5.276923
1983,6.2384615
1984,5.076924
1985,4.007692
1986,4.869231
1987,3.2000003
1988,5.6076922
1989,7.123077
1990,6.253846
1991,6.153846
1992,5.8923078
1993,4.6538463
1994,4.6384616
1995,6.561538
1996,5.4076924
1997,4.9999995
1998,5.06923
1999,6.576924
2000,6.592308
2001,5.8999996
2002,6.192307
2003,5.6538463
2004,5.8307695
2005,6.1538463
2006,5.5384607
2007,7.069231
2008,7.307693
2009,6.176923
2010,6.515384
2011,6.7
2012,5.8153844
2013,6.7230763
2014,6.8769226
2015,7.392308
2016,6.6538467
2017,6.2769237
2018,6.569231
2019,7.8000007
2020,8.015385
